term,definition,category,example,correct,attempts,last_tested
Abrasion,"Exaggerated mechanical wear of tooth structure caused by a foreign abrasive material (e.g.
improper toothbrushing technique or deleterious habits such as pipe smoking, tobacco chewing
and chewing on pens or pencils). Toothbrush abrasion is the most common example, which may
sometimes present as a sharp V-shaped notch in the gingival portion of the labial surface of the
teeth.
[Compare with Attrition (Dental wear, Occlusal wear)]
Abrasive strips (Finishing strips, Lightening strips, Coated abrasive strips)
Strips containing abrasive particles on a flexible backing material (heavyweight paper, metal or
plastic). Used mainly for interproximal enamel reduction.
[See Interproximal stripping (Interproximal reduction of enamel, Reproximation, Slenderizing)]",,,0.0,0.0,
Anterior guidance,"Term used to describe a particular scheme of disclusion of the dental arches during a protrusive
mandibular excursion. Contacts between the maxillary incisors and the mandibular anterior teeth
guide the mandible downward, to create disarticulation (separation) of all other teeth.
Acceleration, Law of
[See Newton's laws]",,,0.0,0.0,
Achondroplasia,"An autosomal dominant condition characterized by failure of the primary growth cartilages of the
limbs and cranial base to grow properly. Early fusion of the sphenoethmoidal, intersphenoidal and
sphenooccipital synchondroses and early closure of the epiphyseal plates of the long bones result
in very short arms and legs and a characteristic midface deficiency that is most accentuated at the
bridge of the nose.
The anterior cranial base appears to be of approximately normal length, whereas the posterior
cranial base is extremely short (i.e. the sphenooccipital synchondrosis seems to be affected more
than the sphenoethmoidal). Affected patients also exhibit short bodies with thick extremities and
stubby fingers, often associated with limited motion of the joints, lumbar lordosis, protruding
abdomen, and inability to straighten the elbows. Correction of the midface deficiency and the
resulting Class III malocclusion in achondroplasia may require a Le Fort III, or modified Le Fort II,
osteotomy to advance the entire midface.",,,0.0,0.0,
Acid etching,"An enamel bonding technique invented by M. G. Buonocore in 1955. During this process a
selected area of tooth substance is prepared for bonding via the application of a corrosive agent
(most commonly a solution or gel of 37% orthophosphoric acid). The effect is a removal of a small
amount of less mineralized, interprismatic enamel and opening of pores between the enamel
prisms, substantially enlarging the surface area of the bonded part so the adhesive can penetrate
into the enamel, providing micromechanical retention.",,,,,
Acromegaly,"Chronic metabolic disorder caused by hyperfunction of the anterior pituitary gland after maturity,
usually due to an adenoma. The resulting overproduction of growth hormone induces an
overgrowth of the bones, connective tissue and viscera. Skeletal changes principally involve the
skull, with frontal bossing, prominent cheek bones, grossly overdeveloped mandible with a
protrusive chin and consequent mandibular prognathism. The small bones of the hands and feet
are also affected, and there is associated broadening of the hands, fingers and feet.
Enlargement of the soft tissue usually is manifested by large ears and nose, thick lips and
macroglossia. The tongue, which exhibits a lobulated margin and papillary hypertrophy, fills the
oral cavity and results in associated labial and buccal tipping of the teeth. There is generalized
splanchnomegaly and hypertrophy of the target organs for anterior pituitary hormones, including
the adrenal cortex, thyroid gland, parathyroid glands and gonads.
[See Gigantism]",,,,,
Acrylic (Methyl methacrylate),"an organic resin commonly used for the construction of dental removable appliances, including
appliances used during orthodontic treatment and retention. [Modified from the AAO Glossary of
Dentofacial Orthopedic Terms, 1993.]",,,,,
"Action and reaction, Law of[See Newton's laws]","Action and reaction, Law of[See Newton's laws]",,,,,
Activation,"The process of storing mechanical energy into an active member of an orthodontic appliance (e.g.
stretching an elastic, or compressing an open coil spring) in order for it to produce the desired
force system, which will be delivered to the dentition. The force system that must be applied for
activation of a spring is the opposite to the force system desired (during deactivation).
Active member
The part of an orthodontic appliance that is involved directly in tooth movement.
[Compare with Reactive member]",,,,,
"Adaptability (Adaptive capacity, Adaptive potential)","relative ability to adjust to the demands of the environment.

Adaptation
1. The progressive adjustive changes in sensitivity that regularly accompany continuous sensory
stimulation or lack of stimulation. The process by which an organism responds to the functional
demands of its environment.
2. The process by which a dental device is fitted to another structure (e.g. adaptation of a band to a
tooth).",,,,,
Adenoid facies,"A long-standing descriptive term implying a relationship between mouth breathing (due to enlarged
adenoids) and the development of malocclusion through altered function. The classic description of
""adenoid facies"" consists of narrow nasal and alar width, hypotonic musculature, ""dull"" or ""vacant""
facial expression and lips separated at rest. It is important to stress that the presence of ""adenoid
facies"" does not necessarily mean that the patient is an obligatory mouth breather, or in other
words, mouth breathing is habitual in certain patients.",,,,,
